height,weight,size
163.4,88.5,xl
167.9,84.2,xl
161.8,79.8,xl
165.8,63.4,m
164.3,56.1,s
165.2,77.4,l
161.5,73.0,m
167.4,85.0,xl
152.7,64.3,l
151.8,50.5,s
165.3,72.9,m
165.9,83.5,l
157.0,46.3,xs
157.0,80.2,xl
165.3,95.1,xl
171.2,58.2,xs
151.9,70.3,l
170.2,101.9,xl
162.7,64.5,s
151.6,72.1,xl
158.3,66.1,l
164.7,58.9,s
159.4,52.8,xs
161.7,62.3,s
167.4,89.6,xl
160.5,83.3,xl
164.9,91.6,xl
160.3,67.7,s
162.0,53.5,xs
158.4,71.2,xl
157.9,52.7,xs
160.8,72.1,xl
165.6,58.9,m
163.9,73.1,m
163.0,62.0,s
161.5,69.5,xl
158.4,62.0,m
166.4,66.9,m
154.5,54.3,m
168.8,64.8,m
167.3,62.5,xs
164.7,64.3,s
163.7,73.6,xl
178.7,82.4,l
150.3,70.1,l
156.2,69.9,xl
155.8,75.4,l
157.6,64.7,m
162.8,66.6,m
174.8,83.1,xl
157.2,63.2,l
174.3,74.6,m
156.1,58.9,l
162.3,64.3,m
164.9,70.5,l
166.1,76.0,xl
166.8,68.0,m
172.2,69.5,m
167.4,86.8,xl
166.3,65.3,s
154.3,80.4,l
156.1,67.3,m
158.7,51.6,xs
149.5,52.6,m
164.5,91.4,xl
165.3,91.9,xl
168.5,75.7,xl
156.9,71.7,xl
165.6,73.8,m
167.2,76.9,m
162.2,69.2,m
166.4,60.9,s
163.6,59.6,xs
166.6,74.0,xl
155.8,80.4,xl
167.4,93.4,xl
153.4,56.8,m
163.0,62.6,l
167.1,73.8,l
178.9,80.8,m
155.3,62.4,m
167.3,77.5,l
159.8,63.1,m
179.8,87.5,xl
164.1,65.0,s
171.8,65.0,s
156.8,63.8,l
165.2,64.2,m
167.6,69.8,m
159.5,83.1,xl
169.7,96.2,xl
170.3,93.0,xl
156.7,48.9,xs
155.4,53.6,s
164.5,62.9,m
162.5,51.0,xs
156.0,65.4,m
150.1,58.8,m
161.7,65.0,l
166.0,67.9,s
163.5,71.9,xl
162.1,92.0,xl
159.6,61.8,s
164.9,71.2,l
159.0,64.3,l
163.0,79.3,xl
150.5,57.5,xl
159.0,68.6,m
161.3,68.8,m
162.0,77.8,l
168.7,76.5,xl
161.3,59.0,s
164.8,62.6,m
182.0,90.8,l
161.3,50.0,xs
171.9,68.8,m
154.3,56.7,s
167.4,62.2,s
166.2,70.7,m
161.2,68.5,l
160.5,57.1,xs
156.0,84.6,xl
166.4,61.8,xs
166.2,67.2,m
162.0,69.2,s
156.7,46.9,xs
168.9,67.4,s
157.6,52.9,xs
159.6,64.4,m
168.4,81.9,xl
170.2,68.3,m
174.5,58.2,xs
159.9,53.2,s
162.8,70.3,m
165.1,80.7,l
159.2,56.9,m
158.7,50.4,s
162.8,74.3,xl
162.7,64.8,m
161.7,65.2,m
158.2,54.8,s
153.7,56.1,s
162.9,66.3,m
164.0,57.7,s
167.5,79.0,l
159.2,67.1,l
163.3,69.1,xl
173.3,77.3,m
161.0,62.2,s
156.6,62.0,m
163.9,69.1,l
158.0,62.6,l
155.7,58.7,s
168.3,69.4,m
159.7,64.7,m
159.8,62.1,l
161.3,69.8,xl
164.9,65.6,s
167.2,60.2,s
171.3,74.3,s
164.1,74.4,xl
161.2,63.3,s
159.6,62.1,s
144.2,46.7,xs
155.5,63.9,m
149.7,57.9,m
161.2,70.8,l
169.0,69.8,s
163.4,65.4,m
150.9,54.2,m
158.2,59.3,xs
146.5,49.7,s
154.5,52.6,s
147.5,48.0,xs
163.3,55.7,m
163.1,72.4,xl
162.6,66.1,l
153.3,79.4,xl
155.3,57.2,m
175.2,78.5,xl
161.8,67.6,m
163.4,53.0,s
168.9,77.7,l
153.4,52.4,s
162.9,60.1,s
162.8,55.9,s
160.3,53.0,xs
154.7,57.8,s
158.5,64.4,l
163.8,69.3,l
175.4,84.9,xl
162.3,60.7,s
161.4,62.3,m
167.6,60.1,s
156.0,51.6,xs
163.7,50.5,xs
154.2,53.2,s
153.6,56.6,m
161.3,73.2,m
159.5,57.6,s
165.9,80.7,l
156.4,62.2,s
168.6,72.6,xl
167.8,71.1,l
157.3,57.2,l
158.9,62.3,s
162.1,60.2,s
167.9,80.5,xl
159.8,56.1,s
171.3,52.0,xs
155.0,57.8,s
158.3,58.0,xs
154.0,61.2,m
154.1,58.5,m
162.2,87.5,xl
179.3,77.3,l
171.3,75.5,l
160.3,67.8,l
171.1,88.8,xl
164.1,66.5,s
149.4,58.0,xl
167.2,66.5,l
161.6,64.9,m
158.5,67.3,l
161.2,74.4,xl
166.3,57.6,s
165.6,73.5,l
159.8,63.6,m
154.5,43.2,xs
163.4,74.7,xl
170.4,66.9,m
166.4,82.6,xl
152.2,57.8,m
164.6,63.7,s
155.7,75.8,xl
162.5,59.4,m
167.1,87.2,xl
153.5,69.3,m
159.1,50.0,s
156.7,56.7,s
154.0,58.9,m
157.3,64.0,m
163.7,68.3,m
160.4,56.6,s
174.0,63.2,s
156.3,59.1,s
177.3,76.0,s
167.2,66.4,l
156.4,65.8,m
160.0,71.0,m
158.6,55.1,xs
156.6,59.3,s
168.3,66.1,m
161.3,65.8,m
157.2,63.4,m
158.4,48.0,xs
170.6,66.0,s
162.0,60.1,s
164.0,54.6,s
171.1,116.6,xl
164.1,79.3,l
156.7,45.4,xs
162.9,49.9,xs
147.9,35.8,xs
166.3,70.0,m
174.9,77.0,l
159.2,64.9,l
159.1,55.0,s
171.0,87.5,xl
168.4,76.8,xl
162.5,76.3,xl
166.6,65.0,m
157.6,55.5,s
168.5,75.5,l
162.9,54.8,xs
163.7,70.5,l
159.7,54.8,s
167.6,76.3,l
167.2,78.4,l
170.7,69.8,m
164.9,65.0,m
161.5,79.4,xl
162.9,89.7,xl
161.5,52.5,s
153.7,77.2,xl
166.3,65.7,s
158.2,53.7,s
149.9,66.7,xl
177.1,83.3,l
154.5,59.9,m
160.3,64.9,l
158.0,78.8,xl
160.8,75.2,xl
156.1,64.3,l
164.2,61.3,s
160.0,84.7,xl
159.1,68.7,l
169.7,69.7,l
169.1,60.2,s
156.3,63.1,m
159.8,95.2,xl
163.1,51.3,xs
164.8,69.4,l
149.6,50.9,s
152.2,52.0,s
176.9,88.9,xl
176.1,78.5,s
161.8,67.8,l
161.2,64.4,m
165.3,65.7,l
159.8,66.1,m
177.0,92.5,xl
156.6,61.1,l
166.8,61.1,m
161.4,79.7,l
167.3,68.2,l
158.8,48.9,s
153.4,66.9,xl
149.0,61.7,m
161.1,70.6,xl
159.9,61.1,s
164.5,66.2,l
157.1,53.2,s
165.7,61.6,m
164.1,73.7,l
171.0,65.7,m
167.4,67.1,l
156.1,83.1,xl
166.4,86.6,xl
174.3,105.4,xl
168.1,92.0,xl
149.8,61.7,xl
159.5,77.2,l
177.1,77.7,xl
158.5,80.2,xl
181.9,95.3,xl
168.3,87.0,xl
168.6,73.0,m
170.3,87.7,xl
170.7,82.3,xl
167.8,83.1,xl
164.6,59.9,s
167.6,72.5,l
170.3,63.0,m
160.9,62.3,l
163.6,82.1,xl
162.5,62.4,m
161.5,56.7,s
160.3,67.5,xl
164.1,62.3,s
169.7,64.4,s
157.1,62.6,m
154.8,71.3,m
163.3,63.0,s
166.7,82.0,l
158.4,76.2,xl
164.2,69.7,m
173.6,91.0,xl
167.1,80.1,xl
159.5,68.3,m
171.6,76.9,l
157.4,60.1,s
161.0,82.1,xl
164.3,84.2,l
169.7,79.1,xl
150.1,57.5,m
163.2,56.8,s
165.4,72.0,l
157.1,52.1,xs
159.6,68.9,l
158.9,65.2,s
165.0,82.7,xl
161.1,66.2,l
163.2,71.5,xl
172.9,97.3,xl
153.3,45.0,xs
161.1,50.4,xs
165.0,57.7,xs
147.3,56.2,m
170.0,72.8,m
169.2,72.2,m
161.1,56.0,xs
173.4,82.4,l
169.2,82.5,l
164.7,99.5,xl
159.9,98.8,xl
161.4,81.5,xl
154.9,72.3,xl
163.4,73.6,m
176.0,69.8,m
168.3,76.6,xl
161.8,65.1,m
156.5,51.8,xs
159.2,54.9,m
163.6,57.6,s
153.8,58.3,s
164.8,67.0,m
164.5,63.1,m
162.3,62.7,m
161.1,67.6,m
160.2,53.4,s
167.0,74.8,l
164.3,64.4,s
162.8,67.7,m
157.5,62.0,s
161.3,53.6,xs
159.8,59.9,s
161.0,64.4,m
159.7,53.6,xs
159.0,88.2,xl
168.8,64.6,m
150.2,66.2,l
159.3,69.8,s
160.7,67.7,l
162.5,58.6,s
152.5,52.6,s
156.3,56.4,s
173.4,76.5,m
173.4,87.1,xl
172.8,68.2,m
166.1,62.9,m
170.3,56.8,s
170.2,68.0,m
177.2,66.9,s
162.6,71.2,l
166.1,78.1,l
154.9,67.5,m
163.4,66.3,m
166.1,79.3,xl
156.4,60.4,l
166.4,73.2,xl
155.3,71.2,xl
170.0,72.2,m
154.2,61.0,m
174.3,81.7,xl
162.3,79.9,l
159.0,60.2,s
160.4,58.4,s
162.7,60.1,s
171.8,83.4,l
170.5,97.3,xl
156.1,55.7,xs
166.1,55.3,s
162.0,52.6,xs
166.0,61.4,xs
169.7,89.4,xl
169.9,89.3,xl
174.0,70.2,s
170.1,73.8,l
170.7,60.1,s
156.0,78.2,xl
148.3,44.2,xs
158.7,47.6,xs
157.9,64.2,m
165.9,73.7,m
168.4,77.6,m
159.3,62.0,s
158.9,64.6,m
168.3,69.7,m
170.4,72.4,m
173.6,69.7,l
163.3,62.0,s
172.4,88.4,l
148.7,71.2,xl
156.0,68.4,l
156.1,62.3,l
161.8,61.4,m
160.4,55.1,m
165.8,112.1,xl
165.8,74.9,l
159.1,70.9,l
163.8,58.8,s
175.1,87.6,xl
158.7,59.7,s
154.0,68.0,xl
157.6,70.7,xl
173.7,68.6,s
157.3,62.4,m
162.2,61.0,s
158.8,58.2,s
154.8,48.9,xs
166.2,69.6,m
171.8,79.5,l
151.9,60.0,s
157.3,64.0,m
156.6,71.2,l
152.9,47.5,xs
158.5,73.5,m
161.1,54.6,s
161.0,56.2,s
154.1,58.2,m
176.6,81.2,l
162.6,51.8,xs
164.4,52.3,xs
167.9,75.6,l
174.3,67.4,m
165.8,55.2,xs
161.0,69.0,l
167.5,63.6,m
163.7,64.1,m
162.8,70.1,xl
164.5,79.3,xl
159.5,66.0,l
173.1,93.1,xl
156.7,66.1,l
162.8,51.0,xs
168.8,68.6,l
170.6,83.9,xl
154.3,65.2,m
166.5,92.0,xl
169.0,66.7,s
147.1,46.4,xs
161.6,62.7,l
175.3,59.3,s
162.6,50.8,xs
169.8,72.7,m
154.5,58.3,m
175.9,66.9,m
173.2,84.2,xl
158.7,60.1,m
160.5,60.9,s
153.0,68.7,l
159.8,54.9,s
152.4,45.2,xs
168.3,83.5,xl
157.7,64.1,m
158.3,58.8,s
158.2,56.3,s
156.9,70.2,l
165.1,77.9,l
146.3,62.6,l
165.9,99.2,xl
159.6,62.6,s
160.0,71.3,xl
155.7,52.8,s
156.5,55.2,s
152.5,62.2,m
161.3,61.2,m
167.4,52.9,xs
161.4,74.8,l
155.8,58.2,m
177.4,79.0,l
163.3,61.8,s
161.1,71.6,xl
176.8,69.2,m
157.8,63.5,m
161.9,70.4,l
168.1,66.8,l
161.3,53.5,xs
157.5,61.5,m
164.8,75.1,l
159.0,54.6,xs
160.9,69.5,l
162.5,77.3,l
167.6,75.1,xl
162.3,70.0,xl
161.2,50.2,xs
172.0,71.7,m
156.7,64.4,xl
177.0,107.2,xl
166.8,94.0,xl
158.8,76.4,l
161.6,89.7,xl
159.3,77.7,xl
157.2,49.7,s
167.4,66.2,m
165.2,69.6,l
166.4,84.4,xl
169.1,64.7,m
165.7,78.0,xl
170.4,77.3,l
165.4,73.4,l
157.8,69.5,xl
164.5,70.7,l
163.1,93.6,xl
156.1,85.7,xl
151.6,57.3,s
174.9,67.6,m
171.5,85.5,xl
160.0,54.9,s
168.3,58.8,s
155.7,71.5,xl
154.8,58.0,m
171.4,69.7,l
164.9,68.5,l
152.8,58.6,s
159.6,84.2,xl
165.8,90.9,xl
170.1,104.7,xl
168.3,66.3,s
163.4,76.6,xl
169.5,71.5,m
154.8,59.1,s
158.7,66.5,xl
154.9,67.6,xl
160.6,79.2,xl
150.8,65.2,xl
173.3,75.3,m
156.0,51.7,s
173.9,86.5,xl
162.9,73.2,m
160.9,74.1,m
174.0,90.6,xl
167.8,84.5,xl
154.5,63.1,m
180.9,89.8,xl
176.4,97.0,xl
160.6,66.3,m
156.7,59.4,m
159.4,65.7,xl
158.7,78.6,xl
157.3,52.0,xs
162.4,64.1,s
163.5,79.8,xl
158.0,74.0,l
169.1,64.1,m
165.6,80.3,xl
161.5,71.4,xl
174.9,92.4,m
156.1,66.8,l
167.4,67.8,m
172.1,57.7,xs
170.4,68.7,l
163.6,75.8,l
158.3,65.2,xl
160.4,69.9,l
153.3,47.4,s
159.4,55.8,m
171.9,76.8,xl
168.7,83.2,xl
161.3,71.7,xl
164.4,76.2,xl
161.6,63.2,m
164.1,61.0,l
